protocol,split,species,protocol_group,total_samples,groups_in_split,macro_samples,micro_samples,phase1_macro_samples,phase2_macro_samples,present_in_split
p3,train,Acacia melanoxylon,C,151,1,151,0,151,0,1
p3,train,Acer saccharinum,C,256,1,256,0,256,0,1
p3,train,Afzelia africana,A,220,5,214,6,214,0,1
p3,train,Afzelia bella,A,323,9,320,3,0,320,1
p3,train,Afzelia bipindensis,B,6,2,0,6,0,0,1
p3,train,Afzelia cuanzensis,B,3,1,0,3,0,0,1
p3,train,Afzelia pachyloba,A,92,9,80,12,80,0,1
p3,train,Afzelia quanzensis,B,261,5,261,0,261,0,1
p3,train,Aglaia cucullata,C,213,7,213,0,0,213,1
p3,train,Albizia adianthifolia,A,339,14,320,19,0,320,1
p3,train,Albizia antunesiana,B,12,3,0,12,0,0,1
p3,train,Albizia chinensis,B,241,7,241,0,0,241,1
p3,train,Albizia ferruginea,A,299,15,280,19,0,280,1
p3,train,Albizia glaberrima,B,280,7,280,0,0,280,1
p3,train,Albizia zygia,B,282,7,282,0,0,282,1
p3,train,Alstonia boonei,A,329,11,320,9,0,320,1
p3,train,Amphimas ferrugineus,B,3,1,0,3,0,0,1
p3,train,Amphimas pterocarpoides,A,287,9,280,7,0,280,1
p3,train,Anthonotha fragrans,B,280,7,280,0,0,280,1
p3,train,Anthonotha macrophylla,B,3,1,0,3,0,0,1
p3,train,Antrocaryon micraster,B,280,7,280,0,0,280,1
p3,train,Antrocaryon nannanii,B,21,4,0,21,0,0,1
p3,train,Artocarpus heterophyllus,C,153,1,153,0,153,0,1
p3,train,Autranella congolensis,A,143,3,140,3,140,0,1
p3,train,Bagassa guianensis,C,454,14,454,0,0,454,1
p3,train,Bombax ceiba,C,210,7,210,0,0,210,1
p3,train,Burretiodendron tonkinense,C,202,4,202,0,202,0,1
p3,train,Callitris columellaris,C,217,2,217,0,217,0,1
p3,train,Canarium album,B,144,1,144,0,144,0,1
p3,train,Canarium bengalense,B,218,7,218,0,0,218,1
p3,train,Canarium schweinfurthii,A,331,11,322,9,0,322,1
p3,train,Celtis adolfi-friderici,B,280,7,280,0,0,280,1
p3,train,Celtis gomphophylla,B,10,3,0,10,0,0,1
p3,train,Celtis mildbraedii,B,280,7,280,0,0,280,1
p3,train,Chrysophyllum africanum,B,4,2,0,4,0,0,1
p3,train,Chrysophyllum lacourtianum,B,3,1,0,3,0,0,1
p3,train,Chrysophyllum perpulchrum,B,280,7,280,0,0,280,1
p3,train,Cinnamomum camphora,C,198,2,198,0,198,0,1
p3,train,Clarisia racemosa,C,153,1,153,0,153,0,1
p3,train,Colophospermum mopane,C,154,1,154,0,154,0,1
p3,train,Cryptomeria japonica,C,242,7,242,0,0,242,1
p3,train,Cunninghamia lanceolata,C,318,4,318,0,318,0,1
p3,train,Cylicodiscus gabunensis,C,160,1,160,0,160,0,1
p3,train,Dalbergia cochinchinensis,C,354,1,354,0,354,0,1
p3,train,Dalbergia melanoxylon,C,179,6,179,0,0,179,1
p3,train,Dalbergia oliveri,C,226,7,226,0,226,0,1
p3,train,Detarium macrocarpum,C,340,1,340,0,340,0,1
p3,train,Dicorynia guianensis,C,211,7,211,0,0,211,1
p3,train,Didelotia africana,C,278,4,278,0,278,0,1
p3,train,Diospyros crassiflora,B,9,3,0,9,0,0,1
p3,train,Diospyros salletii,B,175,2,175,0,175,0,1
p3,train,Dipterocarpus costatus,C,250,7,250,0,0,250,1
p3,train,Distemonanthus benthamianus,C,189,2,189,0,189,0,1
p3,train,Entandrophragma angolense,A,301,17,280,21,0,280,1
p3,train,Entandrophragma candollei,B,11,4,0,11,0,0,1
p3,train,Entandrophragma cylindricum,A,244,12,225,19,225,0,1
p3,train,Entandrophragma utile,A,231,14,208,23,208,0,1
p3,train,Erythrophleum ivorense,B,138,1,138,0,138,0,1
p3,train,Erythrophleum suaveolens,B,10,3,0,10,0,0,1
p3,train,Eucalyptus grandis,C,280,1,280,0,280,0,1
p3,train,Eucalyptus saligna,C,295,1,295,0,295,0,1
p3,train,Fokienia hodginsii,C,211,2,211,0,211,0,1
p3,train,Fraxinus excelsior,C,401,6,401,0,401,0,1
p3,train,Funtumia africana,A,332,11,320,12,0,320,1
p3,train,Funtumia elastica,B,280,7,280,0,0,280,1
