species,genus,group,overlap_type,protocol_usage,group_order
Afzelia africana,Afzelia,A,exact_species_overlap,"P1,P2,P3",1
Afzelia bella,Afzelia,A,exact_species_overlap,"P1,P2,P3",2
Afzelia pachyloba,Afzelia,A,exact_species_overlap,"P1,P2,P3",3
Albizia adianthifolia,Albizia,A,exact_species_overlap,"P1,P2,P3",4
Albizia ferruginea,Albizia,A,exact_species_overlap,"P1,P2,P3",5
Alstonia boonei,Alstonia,A,exact_species_overlap,"P1,P2,P3",6
Amphimas pterocarpoides,Amphimas,A,exact_species_overlap,"P1,P2,P3",7
Autranella congolensis,Autranella,A,exact_species_overlap,"P1,P2,P3",8
Canarium schweinfurthii,Canarium,A,exact_species_overlap,"P1,P2,P3",9
Entandrophragma angolense,Entandrophragma,A,exact_species_overlap,"P1,P2,P3",10
Entandrophragma cylindricum,Entandrophragma,A,exact_species_overlap,"P1,P2,P3",11
Entandrophragma utile,Entandrophragma,A,exact_species_overlap,"P1,P2,P3",12
Funtumia africana,Funtumia,A,exact_species_overlap,"P1,P2,P3",13
Gilbertiodendron dewevrei,Gilbertiodendron,A,exact_species_overlap,"P1,P2,P3",14
Guibourtia arnoldiana,Guibourtia,A,exact_species_overlap,"P1,P2,P3",15
Holoptelea grandis,Holoptelea,A,exact_species_overlap,"P1,P2,P3",16
Klainedoxa gabonensis,Klainedoxa,A,exact_species_overlap,"P1,P2,P3",17
Lophira alata,Lophira,A,exact_species_overlap,"P1,P2,P3",18
Mammea africana,Mammea,A,exact_species_overlap,"P1,P2,P3",19
Milicia excelsa,Milicia,A,exact_species_overlap,"P1,P2,P3",20
Millettia laurentii,Millettia,A,exact_species_overlap,"P1,P2,P3",21
Morus mesozygia,Morus,A,exact_species_overlap,"P1,P2,P3",22
Musanga cecropioides,Musanga,A,exact_species_overlap,"P1,P2,P3",23
Nauclea diderrichii,Nauclea,A,exact_species_overlap,"P1,P2,P3",24
Pericopsis elata,Pericopsis,A,exact_species_overlap,"P1,P2,P3",25
Petersianthus macrocarpus,Petersianthus,A,exact_species_overlap,"P1,P2,P3",26
Piptadeniastrum africanum,Piptadeniastrum,A,exact_species_overlap,"P1,P2,P3",27
Pterocarpus soyauxii,Pterocarpus,A,exact_species_overlap,"P1,P2,P3",28
Pycnanthus angolensis,Pycnanthus,A,exact_species_overlap,"P1,P2,P3",29
Terminalia superba,Terminalia,A,exact_species_overlap,"P1,P2,P3",30
Tieghemella heckelii,Tieghemella,A,exact_species_overlap,"P1,P2,P3",31
Triplochiton scleroxylon,Triplochiton,A,exact_species_overlap,"P1,P2,P3",32
Zanthoxylum gilletii,Zanthoxylum,A,exact_species_overlap,"P1,P2,P3",33
Afzelia quanzensis,Afzelia,B,genus_overlap_only,"P2,P3",1
Albizia chinensis,Albizia,B,genus_overlap_only,"P2,P3",2
Albizia glaberrima,Albizia,B,genus_overlap_only,"P2,P3",3
Albizia zygia,Albizia,B,genus_overlap_only,"P2,P3",4
Anthonotha fragrans,Anthonotha,B,genus_overlap_only,"P2,P3",5
Antrocaryon micraster,Antrocaryon,B,genus_overlap_only,"P2,P3",6
Canarium album,Canarium,B,genus_overlap_only,"P2,P3",7
Canarium bengalense,Canarium,B,genus_overlap_only,"P2,P3",8
Celtis adolfi-friderici,Celtis,B,genus_overlap_only,"P2,P3",9
Celtis mildbraedii,Celtis,B,genus_overlap_only,"P2,P3",10
Chrysophyllum perpulchrum,Chrysophyllum,B,genus_overlap_only,"P2,P3",11
Diospyros salletii,Diospyros,B,genus_overlap_only,"P2,P3",12
Erythrophleum ivorense,Erythrophleum,B,genus_overlap_only,"P2,P3",13
Funtumia elastica,Funtumia,B,genus_overlap_only,"P2,P3",14
Guibourtia coleosperma,Guibourtia,B,genus_overlap_only,"P2,P3",15
Khaya grandifoliola,Khaya,B,genus_overlap_only,"P2,P3",16
Khaya ivorensis,Khaya,B,genus_overlap_only,"P2,P3",17
Khaya senegalensis,Khaya,B,genus_overlap_only,"P2,P3",18
Nesogordonia papaverifera,Nesogordonia,B,genus_overlap_only,"P2,P3",19
Pterocarpus erinaceus,Pterocarpus,B,genus_overlap_only,"P2,P3",20
